t,x_planet,y_planet,x_sputnik,y_sputnik,vx_planet,vy_planet,vx_sputnik,vy_sputnik,energy
3.710043931268055e+06,7.784992126774124e+11,4.819988314509985e+10,4.712214945181776e+11,3.457612646877278e+10,-8.108678283021952e+02,1.297496809432850e+04,-8.430453967304551e+04,9.261855244822638e+03,-1.642369237915024e+35
3.747519122492984e+06,7.784686715768624e+11,4.868611300892848e+10,4.680617463931640e+11,3.492318529278471e+10,-8.190691286411482e+02,1.297445774910755e+04,-8.432697095637256e+04,9.260193994161897e+03,-1.642369237915024e+35
3.784994313717914e+06,7.784378231368950e+11,4.917232365148140e+10,4.649011520429240e+11,3.527018091867137e+10,-8.272701145944937e+02,1.297394228100944e+04,-8.434970254373467e+04,9.258482185796405e+03,-1.642369237915025e+35
3.822469504942844e+06,7.784066673693505e+11,4.965851488078125e+10,4.617397001022372e+11,3.561711142207137e+10,-8.354707830392680e+02,1.297342169021909e+04,-8.437274039981868e+04,9.256718224949560e+03,-1.642369237915024e+35
3.859944696167774e+06,7.783752042861858e+11,5.014468650485766e+10,4.585773789793552e+11,3.596397481776017e+10,-8.436711308525759e+02,1.297289597692325e+04,-8.439609065031497e+04,9.254900457800246e+03,-1.642369237915024e+35
3.897419887392704e+06,7.783434338994753e+11,5.063083833174728e+10,4.554141768498690e+11,3.631076905739005e+10,-8.518711549115937e+02,1.297236514131048e+04,-8.441975958717102e+04,9.253027168936309e+03,-1.642369237915025e+35
3.934895078617634e+06,7.783113562214104e+11,5.111697016949388e+10,4.522500816503779e+11,3.665749202713229e+10,-8.600708520935716e+02,1.297182918357114e+04,-8.444375367405808e+04,9.251096578680996e+03,-1.642369237915025e+35
3.972370269842564e+06,7.782789712642992e+11,5.160308182614837e+10,4.490850810719476e+11,3.700414154521662e+10,-8.682702192758351e+02,1.297128810389741e+04,-8.446807955206060e+04,9.249106840285191e+03,-1.642369237915025e+35
4.009845461067494e+06,7.782462790405671e+11,5.208917310976891e+10,4.459191625533512e+11,3.735071535936294e+10,-8.764692533357879e+02,1.297074190248327e+04,-8.449274404559819e+04,9.247056036977836e+03,-1.642369237915025e+35
4.047320652292423e+06,7.782132795627565e+11,5.257524382842095e+10,4.427523132740847e+11,3.769721114409956e+10,-8.846679511509136e+02,1.297019057952451e+04,-8.451775416859056e+04,9.244942178866433e+03,-1.642369237915024e+35
4.084795843517353e+06,7.781799728435265e+11,5.306129379017735e+10,4.395845201471451e+11,3.804362649796245e+10,-8.928663095987775e+02,1.296963413521873e+04,-8.454311713087662e+04,9.242763199678995e+03,-1.642369237915024e+35
4.122271034742283e+06,7.781463588956537e+11,5.354732280311835e+10,4.364157698115645e+11,3.838995894056927e+10,-9.010643255570288e+02,1.296907256976536e+04,-8.456884034489906e+04,9.240516953338276e+03,-1.642369237915025e+35
4.159746225967213e+06,7.781124377320314e+11,5.403333067533176e+10,4.332460486246878e+11,3.873620590956169e+10,-9.092619959034022e+02,1.296850588336559e+04,-8.459493143266693e+04,9.238201210358478e+03,-1.642369237915024e+35
4.197221417192142e+06,7.780782093656699e+11,5.451931721491291e+10,4.300753426541840e+11,3.908236475740919e+10,-9.174593175157198e+02,1.296793407622247e+04,-8.462139823300896e+04,9.235813654054042e+03,-1.642369237915024e+35
4.234696608417072e+06,7.780436738096967e+11,5.500528222996481e+10,4.269036376697802e+11,3.942843274806713e+10,-9.256562872718930e+02,1.296735714854083e+04,-8.464824880913130e+04,9.233351876549390e+03,-1.642369237915024e+35
4.272171799642002e+06,7.780088310773561e+11,5.549122552859815e+10,4.237309191347066e+11,3.977440705348132e+10,-9.338529020499241e+02,1.296677510052731e+04,-8.467549145649398e+04,9.230813374577785e+03,-1.642369237915024e+35
4.309646990866932e+06,7.779736811820094e+11,5.597714691893143e+10,4.205571721968400e+11,4.012028474993106e+10,-9.420491587279079e+02,1.296618793239037e+04,-8.470313471102128e+04,9.228195545056677e+03,-1.642369237915024e+35
4.347122182091862e+06,7.779382241371351e+11,5.646304620909099e+10,4.173823816795330e+11,4.046606281420190e+10,-9.502450541840333e+02,1.296559564434028e+04,-8.473118735766188e+04,9.225495680426035e+03,-1.642369237915024e+35
4.384597373316792e+06,7.779024599563285e+11,5.694892320721104e+10,4.142065320721154e+11,4.081173811957912e+10,-9.584405852965851e+02,1.296499823658909e+04,-8.475965843931578e+04,9.222710963735282e+03,-1.642369237915024e+35
4.422072564541722e+06,7.778663886533019e+11,5.743477772143384e+10,4.110296075200546e+11,4.115730743165206e+10,-9.666357489439457e+02,1.296439570935070e+04,-8.478855726614558e+04,9.219838463463449e+03,-1.642369237915024e+35
4.459547755766652e+06,7.778300102418846e+11,5.792060955990964e+10,4.078515918147592e+11,4.150276740391913e+10,-9.748305420045959e+02,1.296378806284078e+04,-8.481789342529100e+04,9.216875128056110e+03,-1.642369237915024e+35
4.497022946991581e+06,7.777933247360231e+11,5.840641853079684e+10,4.046724683830099e+11,4.184811457318251e+10,-9.830249613571174e+02,1.296317529727684e+04,-8.484767679100632e+04,9.213817780161535e+03,-1.642369237915024e+35
